Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Login Functionality,Firefox 124.0,,,07-04-2024 14:40:56,07-04-2024 14:41:36,40.665s,FAILED
,,,,,,,
Test Cases/Web UI/E-commerce (Swag Labs)/Login/Positive/Correct credentials,Firefox 124.0,Verify user can login using correct credentials,,07-04-2024 14:41:00,07-04-2024 14:41:05,4.319s,FAILED
"openBrowser("""")",Firefox 124.0,,,07-04-2024 14:41:00,07-04-2024 14:41:04,3.140s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Firefox 124.0,,,07-04-2024 14:41:04,07-04-2024 14:41:04,0.621s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/Login_page/input_Swag Labs_user-name""))",Firefox 124.0,,,07-04-2024 14:41:04,07-04-2024 14:41:05,0.406s,PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/Login_page/input_Swag Labs_user-name""), username)",Firefox 124.0,,,07-04-2024 14:41:05,07-04-2024 14:41:05,0.124s,FAILED
,,,,,,,
Test Cases/Web UI/E-commerce (Swag Labs)/Login/Negative/Empty credentials,Firefox 124.0,Verify user cannot login using empty credentials,login-001,07-04-2024 14:41:05,07-04-2024 14:41:10,5.182s,PASSED
"openBrowser("""")",Firefox 124.0,,,07-04-2024 14:41:05,07-04-2024 14:41:08,3.042s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Firefox 124.0,,,07-04-2024 14:41:08,07-04-2024 14:41:09,0.560s,PASSED
"comment(""Negative test case begin here"")",Firefox 124.0,,,07-04-2024 14:41:09,07-04-2024 14:41:09,0.035s,PASSED
"comment(""Case 1: Empty username & password"")",Firefox 124.0,,,07-04-2024 14:41:09,07-04-2024 14:41:09,0.005s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/Login_page/input_Swag Labs_login-button""))",Firefox 124.0,,,07-04-2024 14:41:09,07-04-2024 14:41:09,0.386s,PASSED
"verifyElementPresent(findTestObject(""Page_Swag Labs/Login_page/failed-login-text-username""), 0)",Firefox 124.0,,,07-04-2024 14:41:09,07-04-2024 14:41:09,0.100s,PASSED
closeBrowser(),Firefox 124.0,,,07-04-2024 14:41:09,07-04-2024 14:41:10,0.917s,PASSED
,,,,,,,
Test Cases/Web UI/E-commerce (Swag Labs)/Login/Negative/Empty password,Firefox 124.0,Verify user cannot login using only username,login-003,07-04-2024 14:41:13,07-04-2024 14:41:18,4.818s,FAILED
"openBrowser("""")",Firefox 124.0,,,07-04-2024 14:41:13,07-04-2024 14:41:17,3.447s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Firefox 124.0,,,07-04-2024 14:41:17,07-04-2024 14:41:18,0.843s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/Login_page/input_Swag Labs_user-name""))",Firefox 124.0,,,07-04-2024 14:41:18,07-04-2024 14:41:18,0.362s,PASSED
"setText(findTestObject(""Page_Swag Labs/Login_page/input_Swag Labs_user-name""), username)",Firefox 124.0,,,07-04-2024 14:41:18,07-04-2024 14:41:18,0.134s,FAILED
,,,,,,,
Test Cases/Web UI/E-commerce (Swag Labs)/Login/Negative/Empty username,Firefox 124.0,Verify user cannot login using only password,login-002,07-04-2024 14:41:23,07-04-2024 14:41:29,5.789s,FAILED
"openBrowser("""")",Firefox 124.0,,,07-04-2024 14:41:23,07-04-2024 14:41:26,2.958s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Firefox 124.0,,,07-04-2024 14:41:26,07-04-2024 14:41:29,2.449s,PASSED
"click(findTestObject(""Page_Swag Labs/Login_page/input_Swag Labs_password""))",Firefox 124.0,,,07-04-2024 14:41:29,07-04-2024 14:41:29,0.285s,PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/Login_page/input_Swag Labs_password""), password)",Firefox 124.0,,,07-04-2024 14:41:29,07-04-2024 14:41:29,0.064s,FAILED
,,,,,,,
Test Cases/Web UI/E-commerce (Swag Labs)/Login/Negative/Wrong credentials,Firefox 124.0,Verify user cannot login using incorrect credentials,login-004,07-04-2024 14:41:29,07-04-2024 14:41:36,7.303s,PASSED
"openBrowser("""")",Firefox 124.0,,,07-04-2024 14:41:29,07-04-2024 14:41:34,4.521s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Firefox 124.0,,,07-04-2024 14:41:34,07-04-2024 14:41:34,0.649s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/Login_page/input_Swag Labs_user-name""))",Firefox 124.0,,,07-04-2024 14:41:34,07-04-2024 14:41:35,0.329s,PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/Login_page/input_Swag Labs_user-name""), ""awd"")",Firefox 124.0,,,07-04-2024 14:41:35,07-04-2024 14:41:35,0.088s,PASSED
"click(findTestObject(""Page_Swag Labs/Login_page/input_Swag Labs_password""))",Firefox 124.0,,,07-04-2024 14:41:35,07-04-2024 14:41:35,0.267s,PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/Login_page/input_Swag Labs_password""), ""wad"")",Firefox 124.0,,,07-04-2024 14:41:35,07-04-2024 14:41:35,0.080s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/Login_page/input_Swag Labs_login-button""))",Firefox 124.0,,,07-04-2024 14:41:35,07-04-2024 14:41:35,0.264s,PASSED
"verifyElementPresent(findTestObject(""Page_Swag Labs/Login_page/failed-login-text-wrong-credentials""), 0)",Firefox 124.0,,,07-04-2024 14:41:35,07-04-2024 14:41:35,0.049s,PASSED
closeBrowser(),Firefox 124.0,,,07-04-2024 14:41:35,07-04-2024 14:41:36,0.990s,PASSED
