Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Login Functionality,Firefox 124.0,,,08-04-2024 09:46:27,08-04-2024 09:46:53,25.978s,PASSED
,,,,,,,
Test Cases/Web UI/E-commerce (Swag Labs)/Login/Positive/Correct credentials,Firefox 124.0,Verify user can login using correct credentials,,08-04-2024 09:46:27,08-04-2024 09:46:33,5.823s,PASSED
"openBrowser("""")",Firefox 124.0,,,08-04-2024 09:46:27,08-04-2024 09:46:30,2.885s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Firefox 124.0,,,08-04-2024 09:46:30,08-04-2024 09:46:31,0.933s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/Login_page/input_Swag Labs_user-name""))",Firefox 124.0,,,08-04-2024 09:46:31,08-04-2024 09:46:31,0.368s,PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/Login_page/input_Swag Labs_user-name""), username)",Firefox 124.0,,,08-04-2024 09:46:31,08-04-2024 09:46:32,0.144s,PASSED
"click(findTestObject(""Page_Swag Labs/Login_page/input_Swag Labs_password""))",Firefox 124.0,,,08-04-2024 09:46:32,08-04-2024 09:46:32,0.263s,PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/Login_page/input_Swag Labs_password""), password)",Firefox 124.0,,,08-04-2024 09:46:32,08-04-2024 09:46:32,0.078s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/Login_page/input_Swag Labs_login-button""))",Firefox 124.0,,,08-04-2024 09:46:32,08-04-2024 09:46:32,0.268s,PASSED
"verifyElementPresent(findTestObject(""Page_Swag Labs/span_Products""), 0)",Firefox 124.0,,,08-04-2024 09:46:32,08-04-2024 09:46:32,0.062s,PASSED
closeBrowser(),Firefox 124.0,,,08-04-2024 09:46:32,08-04-2024 09:46:33,0.631s,PASSED
,,,,,,,
Test Cases/Web UI/E-commerce (Swag Labs)/Login/Negative/Empty credentials,Firefox 124.0,Verify user cannot login using empty credentials,login-001,08-04-2024 09:46:33,08-04-2024 09:46:37,4.244s,PASSED
"openBrowser("""")",Firefox 124.0,,,08-04-2024 09:46:33,08-04-2024 09:46:35,1.574s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Firefox 124.0,,,08-04-2024 09:46:35,08-04-2024 09:46:35,0.656s,PASSED
"comment(""Negative test case begin here"")",Firefox 124.0,,,08-04-2024 09:46:35,08-04-2024 09:46:35,0.025s,PASSED
"comment(""Case 1: Empty username & password"")",Firefox 124.0,,,08-04-2024 09:46:35,08-04-2024 09:46:35,0.003s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/Login_page/input_Swag Labs_login-button""))",Firefox 124.0,,,08-04-2024 09:46:35,08-04-2024 09:46:35,0.289s,PASSED
"verifyElementPresent(findTestObject(""Page_Swag Labs/Login_page/failed-login-text-username""), 0)",Firefox 124.0,,,08-04-2024 09:46:35,08-04-2024 09:46:36,0.035s,PASSED
closeBrowser(),Firefox 124.0,,,08-04-2024 09:46:36,08-04-2024 09:46:37,1.605s,PASSED
,,,,,,,
