Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Login Functionality,Windows - Firefox 122.0,,,08-04-2024 09:51:06,08-04-2024 09:58:07,7m - 0.847s,FAILED
,,,,,,,
Test Cases/Web UI/E-commerce (Swag Labs)/Login/Positive/Correct credentials,Windows - Firefox 122.0,Verify user can login using correct credentials,,08-04-2024 09:51:06,08-04-2024 09:52:20,1m - 13.493s,PASSED
"openBrowser("""")",Windows - Firefox 122.0,,,08-04-2024 09:51:06,08-04-2024 09:51:39,32.449s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Windows - Firefox 122.0,,,08-04-2024 09:51:39,08-04-2024 09:51:43,4.220s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/Login_page/input_Swag Labs_user-name""))",Windows - Firefox 122.0,,,08-04-2024 09:51:43,08-04-2024 09:51:49,6.012s,PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/Login_page/input_Swag Labs_user-name""), username)",Windows - Firefox 122.0,,,08-04-2024 09:51:49,08-04-2024 09:52:01,11.696s,PASSED
"click(findTestObject(""Page_Swag Labs/Login_page/input_Swag Labs_password""))",Windows - Firefox 122.0,,,08-04-2024 09:52:01,08-04-2024 09:52:04,3.304s,PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/Login_page/input_Swag Labs_password""), password)",Windows - Firefox 122.0,,,08-04-2024 09:52:04,08-04-2024 09:52:11,7.336s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/Login_page/input_Swag Labs_login-button""))",Windows - Firefox 122.0,,,08-04-2024 09:52:11,08-04-2024 09:52:15,3.348s,PASSED
"verifyElementPresent(findTestObject(""Page_Swag Labs/span_Products""), 0)",Windows - Firefox 122.0,,,08-04-2024 09:52:15,08-04-2024 09:52:17,2.690s,PASSED
closeBrowser(),Windows - Firefox 122.0,,,08-04-2024 09:52:17,08-04-2024 09:52:20,2.217s,PASSED
,,,,,,,
Test Cases/Web UI/E-commerce (Swag Labs)/Login/Negative/Empty credentials,Windows - Firefox 122.0,Verify user cannot login using empty credentials,login-001,08-04-2024 09:53:38,08-04-2024 09:54:50,1m - 12.606s,FAILED
"openBrowser("""")",Windows - Firefox 122.0,,,08-04-2024 09:53:38,08-04-2024 09:54:10,32.442s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Windows - Firefox 122.0,,,08-04-2024 09:54:10,08-04-2024 09:54:12,1.520s,PASSED
"comment(""Negative test case begin here"")",Windows - Firefox 122.0,,,08-04-2024 09:54:12,08-04-2024 09:54:12,0.008s,PASSED
"comment(""Case 1: Empty username & password"")",Windows - Firefox 122.0,,,08-04-2024 09:54:12,08-04-2024 09:54:12,0.000s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/Login_page/input_Swag Labs_login-button""))",Windows - Firefox 122.0,,,08-04-2024 09:54:12,08-04-2024 09:54:15,3.311s,PASSED
"verifyElementPresent(findTestObject(""Page_Swag Labs/Login_page/failed-login-text-username""), 0)",Windows - Firefox 122.0,,,08-04-2024 09:54:15,08-04-2024 09:54:50,35.261s,FAILED
,,,,,,,
Test Cases/Web UI/E-commerce (Swag Labs)/Login/Negative/Empty password,Windows - Firefox 122.0,Verify user cannot login using only username,login-003,08-04-2024 09:54:50,08-04-2024 09:55:48,57.653s,PASSED
"openBrowser("""")",Windows - Firefox 122.0,,,08-04-2024 09:54:50,08-04-2024 09:55:22,32.036s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Windows - Firefox 122.0,,,08-04-2024 09:55:22,08-04-2024 09:55:25,2.558s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/Login_page/input_Swag Labs_user-name""))",Windows - Firefox 122.0,,,08-04-2024 09:55:25,08-04-2024 09:55:30,4.804s,PASSED
"setText(findTestObject(""Page_Swag Labs/Login_page/input_Swag Labs_user-name""), username)",Windows - Firefox 122.0,,,08-04-2024 09:55:30,08-04-2024 09:55:39,9.381s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/Login_page/input_Swag Labs_login-button""))",Windows - Firefox 122.0,,,08-04-2024 09:55:39,08-04-2024 09:55:42,3.280s,PASSED
"verifyElementPresent(findTestObject(""Page_Swag Labs/Login_page/failed-login-text-password""), 0)",Windows - Firefox 122.0,,,08-04-2024 09:55:42,08-04-2024 09:55:45,2.549s,PASSED
closeBrowser(),Windows - Firefox 122.0,,,08-04-2024 09:55:45,08-04-2024 09:55:48,2.982s,PASSED
,,,,,,,
Test Cases/Web UI/E-commerce (Swag Labs)/Login/Negative/Empty username,Windows - Firefox 122.0,Verify user cannot login using only password,login-002,08-04-2024 09:55:48,08-04-2024 09:56:42,53.751s,PASSED
