Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Login Functionality,Firefox 124.0,,,07-04-2024 13:34:52,07-04-2024 13:37:29,2m - 37.375s,FAILED
,,,,,,,
Test Cases/Web UI/E-commerce (Swag Labs)/Login/Positive/Correct credentials,Firefox 124.0,Verify user can login using correct credentials,,07-04-2024 13:34:52,07-04-2024 13:34:58,5.473s,PASSED
"openBrowser("""")",Firefox 124.0,,,07-04-2024 13:34:52,07-04-2024 13:34:55,2.319s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Firefox 124.0,,,07-04-2024 13:34:55,07-04-2024 13:34:56,1.047s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/Login_page/input_Swag Labs_user-name""))",Firefox 124.0,,,07-04-2024 13:34:56,07-04-2024 13:34:56,0.386s,PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/Login_page/input_Swag Labs_user-name""), username)",Firefox 124.0,,,07-04-2024 13:34:56,07-04-2024 13:34:56,0.162s,PASSED
"click(findTestObject(""Page_Swag Labs/Login_page/input_Swag Labs_password""))",Firefox 124.0,,,07-04-2024 13:34:56,07-04-2024 13:34:57,0.253s,PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/Login_page/input_Swag Labs_password""), password)",Firefox 124.0,,,07-04-2024 13:34:57,07-04-2024 13:34:57,0.082s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/Login_page/input_Swag Labs_login-button""))",Firefox 124.0,,,07-04-2024 13:34:57,07-04-2024 13:34:57,0.285s,PASSED
"verifyElementPresent(findTestObject(""Page_Swag Labs/span_Products""), 0)",Firefox 124.0,,,07-04-2024 13:34:57,07-04-2024 13:34:57,0.046s,PASSED
closeBrowser(),Firefox 124.0,,,07-04-2024 13:34:57,07-04-2024 13:34:58,0.692s,PASSED
,,,,,,,
Test Cases/Web UI/E-commerce (Swag Labs)/Login/Negative/Empty credentials,Firefox 124.0,Verify user cannot login using empty credentials,login-001,07-04-2024 13:34:58,07-04-2024 13:35:02,4.361s,PASSED
"openBrowser("""")",Firefox 124.0,,,07-04-2024 13:34:58,07-04-2024 13:34:59,1.673s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Firefox 124.0,,,07-04-2024 13:34:59,07-04-2024 13:35:00,0.600s,PASSED
"comment(""Negative test case begin here"")",Firefox 124.0,,,07-04-2024 13:35:00,07-04-2024 13:35:00,0.017s,PASSED
"comment(""Case 1: Empty username & password"")",Firefox 124.0,,,07-04-2024 13:35:00,07-04-2024 13:35:00,0.002s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/Login_page/input_Swag Labs_login-button""))",Firefox 124.0,,,07-04-2024 13:35:00,07-04-2024 13:35:00,0.300s,PASSED
"verifyElementPresent(findTestObject(""Page_Swag Labs/Login_page/failed-login-text-username""), 0)",Firefox 124.0,,,07-04-2024 13:35:00,07-04-2024 13:35:00,0.056s,PASSED
closeBrowser(),Firefox 124.0,,,07-04-2024 13:35:00,07-04-2024 13:35:02,1.645s,PASSED
,,,,,,,
Test Cases/Web UI/E-commerce (Swag Labs)/Login/Negative/Empty password,Firefox 124.0,Verify user cannot login using only username,login-003,07-04-2024 13:36:46,07-04-2024 13:37:20,34.899s,FAILED
"openBrowser("""")",Firefox 124.0,,,07-04-2024 13:36:46,07-04-2024 13:36:48,2.514s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Firefox 124.0,,,07-04-2024 13:36:48,07-04-2024 13:36:49,0.684s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/Login_page/input_Swag Labs_user-name""))",Firefox 124.0,,,07-04-2024 13:36:49,07-04-2024 13:36:49,0.294s,PASSED
"setText(findTestObject(""Page_Swag Labs/Login_page/input_Swag Labs_user-name""), username)",Firefox 124.0,,,07-04-2024 13:36:49,07-04-2024 13:36:49,0.066s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/Login_page/input_Swag Labs_login-button""))",Firefox 124.0,,,07-04-2024 13:36:49,07-04-2024 13:36:49,0.254s,PASSED
"verifyElementPresent(findTestObject(""Page_Swag Labs/Login_page/failed-login-text-password""), 0)",Firefox 124.0,,,07-04-2024 13:36:49,07-04-2024 13:37:20,31.077s,FAILED
,,,,,,,
Test Cases/Web UI/E-commerce (Swag Labs)/Login/Negative/Empty username,Firefox 124.0,Verify user cannot login using only password,login-002,07-04-2024 13:37:20,07-04-2024 13:37:25,4.926s,PASSED
"openBrowser("""")",Firefox 124.0,,,07-04-2024 13:37:20,07-04-2024 13:37:23,2.191s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Firefox 124.0,,,07-04-2024 13:37:23,07-04-2024 13:37:24,1.247s,PASSED
"click(findTestObject(""Page_Swag Labs/Login_page/input_Swag Labs_password""))",Firefox 124.0,,,07-04-2024 13:37:24,07-04-2024 13:37:24,0.289s,PASSED
